File,Type,Total Bytes,Used Bytes,Unused Bytes,Unused %
http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_5791651e._.js,JS,286,270,16,5.59%
http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_61dcf9ba._.js,JS,15486,3258,12228,78.96%
http://localhost:3000/_next/static/chunks/app_forgot-password_ForgotPassword_1aa091df.js,JS,284,268,16,5.63%
http://localhost:3000/_next/static/chunks/_7f3e009a._.js,JS,62423,34234,28189,45.16%
http://localhost:3000/_next/static/chunks/node_modules_9e7e6a13._.js,JS,127794,38406,89388,69.95%
http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__b5ff13f7._.css,CSS,81470,9570,71900,88.25%
http://localhost:3000/forgot-password,JS,2741,0,2741,100.00%
http://localhost:3000/forgot-password,JS,2741,0,2741,100.00%
http://localhost:3000/forgot-password,JS,2741,0,2741,100.00%
http://localhost:3000/forgot-password,JS,2741,1277,1464,53.41%
